	1	2	coeff
125	MA0139.1	CTCF	13.1708756205
480	MA1102.1	CTCFL	4.76598055437
197	MA0506.1	NRF1	4.75676128303
185	MA0490.1	JUNB	3.24462061333
112	MA0119.1	NFIC::TLX1	3.145975135
421	MA0833.1	ATF4	2.99617178318
426	MA0838.1	CEBPG	2.98362675211
138	MA0153.2	HNF1B	2.88642972806
324	MA0732.1	EGR3	2.88391500264
519	MA1141.1	FOS::JUND	2.85801893159
52	MA0060.1	NFYA	2.67526553747
174	MA0476.1	FOS	2.61436209008
402	MA0812.1	TFAP2B(var.2)	2.53198290631
18	MA0028.1	ELK1	2.50396473349
166	MA0470.1	E2F4	2.42982916527
513	MA1135.1	FOSB::JUNB	2.36579927175
134	MA0149.1	EWSR1-FLI1	2.25111840386
216	MA0527.1	ZBTB33	2.23799329095
1	MA0003.1	TFAP2A	2.22537457927
342	MA0751.1	ZIC4	2.13135280594
479	MA1101.1	BACH2	2.12249626184
133	MA0148.3	FOXA1	2.09646303994
184	MA0489.1	JUN(var.2)	2.03689999172
13	MA0024.1	E2F1	2.02161475775
515	MA1137.1	FOSL1::JUNB	1.99279760974
48	MA0058.1	MAX	1.98899478938
93	MA0102.3	CEBPA	1.98729054432
69	MA0079.2	SP1	1.97318767558
10	MA0018.1	CREB1	1.96110726039
15	MA0024.3	E2F1	1.95062799919
331	MA0740.1	KLF14	1.88694192868
500	MA1122.1	TFDP1	1.86523708185
282	MA0685.1	SP4	1.80282427486
240	MA0638.1	CREB3	1.77092271313
518	MA1140.1	JUNB(var.2)	1.7184920186
506	MA1128.1	FOSL1::JUN	1.64978510856
14	MA0024.2	E2F1	1.64644047141
356	MA0765.1	ETV5	1.60546814979
175	MA0477.1	FOSL1	1.58356235512
398	MA0808.1	TEAD3	1.57214446639
369	MA0779.1	PAX1	1.5447424064
438	MA0852.2	FOXK1	1.5316183648
521	MA1143.1	FOSL1::JUND(var.2)	1.52423678937
80	MA0090.1	TEAD1	1.50884777134
523	MA1145.1	FOSL2::JUND(var.2)	1.49957594138
206	MA0516.1	SP2	1.49476998365
172	MA0475.1	FLI1	1.49309284759
88	MA0098.3	ETS1	1.48425654608
169	MA0473.1	ELF1	1.4702387671
249	MA0648.1	GSC	1.4674577881
119	MA0136.2	ELF5	1.45497108031
509	MA1131.1	FOSL2::JUN(var.2)	1.43812349725
226	MA0600.1	RFX2	1.43059334921
225	MA0599.1	KLF5	1.37018896008
121	MA0137.2	STAT1	1.35506944045
159	MA0462.1	BATF::JUN	1.31583026544
246	MA0645.1	ETV6	1.30799740563
130	MA0147.3	MYC	1.307550342
478	MA1100.1	ASCL1	1.29649784548
140	MA0154.3	EBF1	1.28550140904
224	MA0598.2	EHF	1.27881712683
19	MA0028.2	ELK1	1.24853351973
516	MA1138.1	FOSL2::JUNB	1.2202829994
534	MA1419.1	IRF4	1.21502437062
66	MA0076.2	ELK4	1.19129225264
399	MA0809.1	TEAD4	1.18942134962
194	MA0501.1	MAF::NFE2	1.18753619716
451	MA0873.1	HOXD12	1.18235898678
283	MA0686.1	SPDEF	1.17542888219
204	MA0511.2	RUNX2	1.16326368239
151	MA0162.2	EGR1	1.15624045881
117	MA0131.2	HINFP	1.14546121976
400	MA0810.1	TFAP2A(var.2)	1.13680407273
135	MA0150.1	NFE2L2	1.12783488084
65	MA0076.1	ELK4	1.1276272556
229	MA0612.1	EMX1	1.11677054636
155	MA0258.2	ESR2	1.10185389725
512	MA1134.1	FOS::JUNB	1.0889731639
431	MA0844.1	XBP1	1.07639612077
420	MA0831.2	TFE3	1.06038035974
131	MA0148.1	FOXA1	1.04899919483
504	MA1126.1	FOS::JUN(var.2)	1.01753813994
150	MA0161.2	NFIC	1.01372799473
124	MA0138.2	REST	1.00448611433
102	MA0106.2	TP53	0.981478236539
183	MA0488.1	JUN	0.966745858549
327	MA0735.1	GLIS1	0.96182656752
305	MA0711.1	OTX1	0.96156911832
37	MA0046.2	HNF1A	0.951167748947
425	MA0837.1	CEBPE	0.941397269939
489	MA1111.1	NR2F2	0.935572756606
232	MA0620.2	MITF	0.927112639445
505	MA1127.1	FOSB::JUN	0.925027456813
70	MA0079.3	SP1	0.923825460198
147	MA0159.1	RARA::RXRA	0.920832539793
53	MA0060.2	NFYA	0.919547611984
259	MA0658.1	LHX6	0.913529246271
332	MA0741.1	KLF16	0.909198941211
450	MA0872.1	TFAP2A(var.3)	0.903819724231
171	MA0474.2	ERG	0.896623224569
132	MA0148.2	FOXA1	0.890525923283
281	MA0684.1	RUNX3	0.880626995658
272	MA0671.1	NFIX	0.87992044412
92	MA0101.1	REL	0.862901008426
508	MA1130.1	FOSL2::JUN	0.857689191493
395	MA0805.1	TBX1	0.85762120137
396	MA0806.1	TBX4	0.85762120137
74	MA0081.1	SPIB	0.819417074193
382	MA0792.1	POU5F1B	0.813855503042
495	MA1117.1	RELB	0.805899873063
3	MA0003.3	TFAP2A	0.800714890009
218	MA0592.1	ESRRA	0.787373366216
28	MA0036.3	GATA2	0.77295309214
511	MA1133.1	JUN::JUNB(var.2)	0.761003813492
167	MA0471.1	E2F6	0.750209545824
499	MA1121.1	TEAD2	0.750074402157
388	MA0798.1	RFX3	0.749663899311
440	MA0856.1	RXRG	0.745574751373
488	MA1110.1	NR1H4	0.74482576795
245	MA0644.1	ESX1	0.74096815945
351	MA0760.1	ERF	0.739553305913
361	MA0771.1	HSF4	0.735735462543
439	MA0855.1	RXRB	0.733190048025
422	MA0834.1	ATF7	0.72722021816
51	MA0059.1	MAX::MYC	0.724505174491
98	MA0105.2	NFKB1	0.72392821738
341	MA0750.2	ZBTB7A	0.717920223209
201	MA0510.1	RFX5	0.712932368669
415	MA0826.1	OLIG1	0.712836893119
423	MA0835.1	BATF3	0.711345971075
